artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count_x,genres,genre,count,label
Chris J,0.00286,0.759,257413.0,0.583,0.0,0.0445,-8.503,0.0864,76.023,0.904,39.0,1,1,2,"['contemporary country', 'country', 'country road', 'modern country rock']",country road,112,12
Chris Janson,0.2805222222222222,0.5346666666666667,195679.66666666663,0.7376666666666668,2.5222222222222213e-06,0.1599444444444444,-5.07888888888889,0.0507333333333333,135.84511111111112,0.625,61.0,2,1,18,"['contemporary country', 'country', 'country road', 'modern country rock']",country road,112,12
Chris Kenner,0.8320000000000001,0.589,117600.0,0.568,0.0,0.272,-11.295,0.0806,144.566,0.777,36.0,5,1,2,"['louisiana blues', 'new orleans blues', 'rhythm and blues']",rhythm and blues,64,41
Chris Knight,0.2521375,0.5589999999999999,251260.0,0.4828750000000002,8.471125000000001e-05,0.1542875,-8.124875000000001,0.0292875,117.350875,0.4033749999999999,42.375,7,1,16,"['red dirt', 'roots americana', 'roots rock', 'texas country']",roots rock,76,27
Chris Lane,0.2124727272727272,0.5279090909090909,204020.81818181815,0.7945454545454546,0.0,0.1887,-4.450272727272727,0.0478454545454545,143.23963636363638,0.5807272727272728,68.27272727272727,11,1,11,['contemporary country'],contemporary country,60,52
Chris LeDoux,0.3368895121951221,0.6141463414634146,195482.71951219512,0.4850000000000001,0.0002658525609756,0.1666731707317072,-12.437378048780484,0.0507292682926829,114.20096341463416,0.6591219512195121,31.646341463414632,0,1,82,"['country', 'country road', 'country rock', 'wyoming roots']",country rock,80,26
Chris Standring,0.688,0.693,282507.0,0.446,0.866,0.104,-11.045,0.0476,94.012,0.53,42.0,2,1,2,['smooth jazz'],smooth jazz,56,60
Chris Stapleton,0.3048620491803279,0.5696229508196718,243801.4098360656,0.4868852459016394,0.0321184272131147,0.1500590163934426,-10.077311475409836,0.0381098360655737,114.17981967213116,0.4649508196721313,61.459016393442624,0,1,61,"['contemporary country', 'outlaw country']",contemporary country,60,52
Chris Travis,0.1918,0.6940000000000001,242234.0,0.4565,0.004125,0.3505,-10.3905,0.1827,124.6285,0.09265,50.5,11,0,4,"['dark trap', 'emo rap', 'phonk', 'underground hip hop', 'vapor trap']",underground hip hop,108,14
Chris Webby,0.1957142857142857,0.6644285714285714,202411.8571428572,0.7380000000000001,1.1142857142857143e-06,0.1810142857142857,-6.295857142857143,0.3375714285714286,128.72985714285716,0.6335714285714287,57.57142857142857,10,0,7,"['deep underground hip hop', 'indie pop rap', 'pop rap', 'rap']",pop rap,135,6
Chris Young,0.3062189672131148,0.5588524590163934,197498.2459016393,0.6834590163934426,0.0001472272131147,0.1570983606557377,-5.309065573770488,0.0365852459016393,117.18778688524591,0.4937213114754097,54.01639344262296,7,1,61,"['contemporary country', 'country', 'country road', 'modern country rock']",country road,112,12
Chris de Burgh,0.469,0.5085555555555554,261019.2222222223,0.3455666666666667,8.143555555555553e-05,0.2072666666666666,-14.386666666666663,0.0500555555555555,102.37455555555556,0.4479,45.33333333333334,5,1,18,"['mellow gold', 'new wave pop', 'soft rock']",soft rock,86,22
Chrisette Michele,0.3485,0.6454285714285714,249462.8571428572,0.5251428571428571,0.0004442285714285,0.1417571428571429,-6.6298571428571424,0.1261428571428571,114.72871428571428,0.3848571428571429,47.71428571428572,5,0,14,"['hip pop', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",r&b,102,15
Christa Ludwig,0.9603333333333332,0.3043333333333333,308324.33333333326,0.1763333333333333,0.0002477,0.226,-17.47366666666667,0.0452666666666666,96.08366666666666,0.2349666666666667,5.666666666666668,1,1,3,"['classical mezzo-soprano', 'classical performance', 'opera']",opera,74,31
Christian Bale,0.8380000000000001,0.3289999999999999,184046.5,0.11695,0.000895,0.241,-20.792,0.04145,121.1425,0.2775,33.0,10,1,4,['hollywood'],hollywood,89,21
Christian Borle,0.7470000000000001,0.54575,288013.25,0.224,0.0,0.201075,-12.9585,0.309875,136.12375,0.43825,47.0,7,1,4,"['broadway', 'hollywood', 'show tunes']",show tunes,136,5
Christian French,0.2988046153846154,0.644230769230769,189414.0769230769,0.5556153846153846,5.0446153846153845e-06,0.1599230769230769,-6.7556153846153855,0.0736692307692307,112.61446153846153,0.573,66.0,9,0,13,['pop'],pop,180,0
Christian Leave,0.6683333333333333,0.6073333333333334,139319.66666666663,0.3626666666666667,0.0013550566666666,0.2173333333333332,-7.764666666666668,0.0362333333333333,122.23566666666666,0.2643333333333333,66.66666666666667,0,1,6,"['indie cafe pop', 'indie pop', 'pop']",pop,180,0
Christian Nodal,0.3567500000000001,0.6246875,179534.875,0.509375,0.0,0.21155,-4.412249999999999,0.039775,145.84075,0.6808124999999999,72.125,7,1,32,['regional mexican pop'],regional mexican pop,54,64
Christina Aguilera,0.3035416888888887,0.5944333333333333,232162.54444444444,0.6230888888888889,0.000838617,0.2254766666666668,-5.896166666666665,0.0967677777777778,122.49771111111107,0.4456555555555557,53.95555555555556,8,1,90,"['dance pop', 'europop', 'pop', 'pop rap', 'post-teen pop']",pop rap,135,6
Christina Milian,0.0156,0.7784000000000001,224197.2,0.7876,0.0003587,0.15312,-4.3572000000000015,0.0988,138.94559999999998,0.5084000000000001,51.2,11,1,5,"['dance pop', 'europop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']",pop rap,135,6
Christina Perri,0.40255,0.4143500000000001,255516.7,0.44735,0.000350492,0.12958,-7.409449999999998,0.0368549999999999,120.16245,0.19352,61.55,10,1,20,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",pop rock,169,1
Christine Baranski,0.1502777777777778,0.677,224955.5555555556,0.792,0.0014573288888888,0.1427444444444444,-4.8755555555555565,0.0806555555555555,120.07355555555556,0.6890000000000001,61.22222222222222,0,1,9,"['hollywood', 'movie tunes']",hollywood,89,21
Christopher Cross,0.355456,0.6349199999999998,257692.96,0.4942799999999999,0.0211962264,0.153492,-13.071399999999995,0.03492,118.55392000000003,0.5220400000000001,44.92,9,1,50,"['adult standards', 'album rock', 'disco', 'mellow gold', 'new wave pop', 'quiet storm', 'soft rock', 'yacht rock']",soft rock,86,22
Christopher Fitzgerald,0.5383333333333333,0.5143333333333334,350288.66666666674,0.4763333333333333,0.0,0.1626666666666666,-7.907,0.0520666666666666,135.89266666666666,0.532,49.66666666666666,0,1,3,"['broadway', 'hollywood', 'show tunes']",show tunes,136,5
Christopher Hogwood,0.9135,0.28275,303103.25,0.05675,0.0047302499999999,0.142125,-22.83675,0.0518,123.48650000000002,0.14975,45.25,4,1,8,"['classical performance', 'historically informed performance', 'orchestral performance']",orchestral performance,63,44
Christopher Jackson,0.4336230769230769,0.6345384615384616,213606.2307692308,0.4631538461538461,2.3861538461538464e-06,0.1940923076923077,-9.803769230769232,0.2516384615384615,95.4553846153846,0.3758,55.384615384615394,0,1,13,"['hollywood', 'show tunes']",hollywood,89,21
Christopher Wilde,0.1177614,0.6018999999999999,195505.5,0.695,0.0,0.10785,-6.600199999999999,0.06873,126.77530000000002,0.6079000000000001,56.2,5,1,10,"['dance pop', 'pop', 'post-teen pop']",post-teen pop,137,4
Christopher Williams,0.1763111111111111,0.7068888888888887,290806.11111111107,0.7192222222222223,0.0004445911111111,0.1503444444444444,-9.491333333333332,0.0549333333333333,126.05977777777775,0.6514444444444446,41.333333333333336,6,1,9,"['new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",r&b,102,15
Christy Altomare,0.928,0.59,265760.0,0.237,0.00379,0.113,-13.067,0.0354,123.859,0.291,44.0,6,1,2,"['broadway', 'hollywood', 'show tunes']",show tunes,136,5
Chromatics,0.7713333333333333,0.625,311708.33333333326,0.573,0.3666666666666667,0.0872333333333333,-8.779000000000002,0.0463666666666666,113.439,0.355,53.0,10,0,6,"['alternative dance', 'art pop', 'chillwave', 'electronica', 'electropop', 'indie pop', 'indietronica', 'modern dream pop', 'neo-synthpop', 'new rave']",indietronica,60,50
Chubb Rock,0.1246,0.894,249420.0,0.4795,3.74e-05,0.2189999999999999,-12.846999999999998,0.2385,103.368,0.495,42.5,2,1,4,"['east coast hip hop', 'electro', 'hardcore hip hop', 'hip hop', 'hip house', 'old school hip hop']",hip hop,83,24
Chuck,0.337,0.7,331133.0,0.644,0.0,0.242,-6.621,0.236,87.667,0.5870000000000001,55.0,1,0,2,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",rock-and-roll,62,47
Chuck Berry,0.6831663013698632,0.6274018264840182,157233.29223744292,0.6164337899543374,0.1200102436986302,0.192289497716895,-10.25932876712328,0.0612022831050228,126.19240639269393,0.8097534246575341,29.721461187214608,0,1,219,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'soul']",rock-and-roll,62,47
Chuck Prophet,0.1119999999999999,0.359,311707.0,0.647,0.00066,0.166,-6.352,0.0293,179.764,0.471,48.0,5,1,2,"['alternative country', 'alternative roots rock', 'country rock', 'deep new americana', 'folk', 'heartland rock', 'new americana', 'power pop', 'pub rock', 'roots rock']",new americana,53,65
Chuck Wicks,0.4513333333333334,0.5283333333333333,242506.0,0.4283333333333334,4.366666666666666e-05,0.113,-8.173333333333334,0.0301333333333333,111.5,0.2603333333333333,49.66666666666666,8,1,6,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",country road,112,12
Chuck Willis,0.809142857142857,0.5396428571428572,153139.0,0.461,0.0002493257142857,0.2145428571428571,-7.638857142857144,0.0483857142857142,126.0425,0.7275000000000001,14.0,5,1,14,"['doo-wop', 'jazz blues', 'rhythm and blues', 'rock-and-roll', 'swamp pop']",rock-and-roll,62,47
Chuckii Booker,0.0629,0.5379999999999999,334766.5,0.6275,0.02935,0.1119999999999999,-11.4,0.047,187.7395,0.7140000000000001,39.5,6,1,4,"['new jack swing', 'quiet storm', 'urban contemporary']",urban contemporary,101,16
Chuy Lizarraga y Su Banda Tierra Sinaloense,0.6455,0.7,217593.5,0.494,5.35225e-05,0.151325,-4.66175,0.0543,142.02700000000004,0.91525,52.0,2,1,8,"['banda', 'duranguense', 'grupera', 'norteno', 'regional mexican', 'regional mexican pop']",norteno,96,18
Chœur et Orchestre de l'Opéra de Paris,0.9288157894736844,0.3016631578947369,190149.8947368421,0.1713368421052631,0.1002698836842105,0.3170526315789473,-16.804973684210523,0.050978947368421,87.90894736842108,0.1877368421052632,0.0,2,1,38,['opera'],opera,74,31
Ciara,0.0906168571428571,0.740547619047619,233475.0238095239,0.6578809523809523,0.0015395345238095,0.1417714285714285,-6.764714285714287,0.1243142857142857,120.18638095238092,0.5279761904761906,56.28571428571429,6,1,42,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']",rap,164,2
Cinderella's Mice Chorus,0.9685,0.2715,237633.5,0.1365,0.00041775,0.1285,-17.4205,0.05685,127.4695,0.226,48.0,3,1,4,"['disney', 'movie tunes']",disney,61,48
Cindy Bullens,0.7070000000000001,0.6344,163482.4,0.3078,0.0066662,0.1382,-13.1612,0.03408,105.3744,0.583,46.8,2,1,5,['hollywood'],hollywood,89,21
Citizen,0.0937,0.4165,161733.5,0.541,0.0026625,0.315,-7.739000000000001,0.0423,129.2695,0.2125,50.5,11,0,4,['neo mellow'],neo mellow,71,32
Citizen Cope,0.2135045454545454,0.6863636363636364,255712.31818181815,0.6694090909090908,0.0051785572727272,0.1304181818181818,-5.579090909090909,0.0442863636363636,102.3855,0.5643636363636364,50.95454545454545,5,1,22,['neo mellow'],neo mellow,71,32
Citizen King,0.173,0.758,207027.0,0.8959999999999999,3.18e-05,0.136,-3.3110000000000004,0.0501,94.911,0.797,56.0,9,1,2,"['pop rock', 'post-grunge']",pop rock,169,1
Citizen Way,0.07495,0.5389999999999999,232907.0,0.7990000000000002,0.0,0.193,-4.6855,0.0549,95.51850000000002,0.542,49.0,6,1,4,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']",christian music,67,35
City Of Birmingham Symphony Orchestra,0.941,0.13375,406800.0,0.066115,0.89,0.08775,-23.6725,0.0403,110.34949999999998,0.04595,44.5,1,1,4,"['classical performance', 'orchestra']",classical performance,127,7
